_lab_caseId,Wavelet_Variance,Wavelet_skewedness,Wavelet_kurtosis,Image_Entropy
known_real_1,0.68087,2.3259,4.9085,0.54998
known_real_2,4.1962,0.74493,0.83256,0.753
known_real_3,6.0919,2.9673,-1.3267,1.4551
known_real_4,1.3234,3.2964,0.2362,-0.11984
known_real_5,1.3264,1.0326,5.6566,-0.41337
known_forgery_1,-3.7503,-13.4586,17.5932,-2.7771
known_forgery_2,-3.5637,-8.3827,12.393,-1.2823
known_forgery_3,-2.5419,-0.65804,2.6842,1.1952
known_forgery_4,-1.687,-0.44435,3.12456,1.95521
known_forgery_5,0.45897,1.345,-1.4879,-0.682123
