_lab_groundTruth,NaO,MgO,AlO,SiO,KO,CaO,FeO
s61_1,0.503435338,0.287107089,0.11697442,0.903119859,0.073563963,0.445570409,0.141989808
s61_2,0.507377488,0.286476148,0.120235856,0.906739573,0.00351822,0.443303785,0.131782822
s61_3,0.504594572,0.287825755,0.122126242,0.910464837,0.003528791,0.451897452,0.138802947
s61_4,0.508037508,0.278371145,0.127607006,0.867187554,0.113018925,0.40656966,0.003442697
s61_5,0.5090546,0.275959821,0.130315089,0.868576165,0.119170505,0.407587355,0.004653201
s61_6,0.508139125,0.276429352,0.127645294,0.92173271,0.114268996,0.426390366,0.003480428
s61_7,0.503133367,0.273870476,0.124655668,0.845353835,0.113132,0.390940463,0.003398912
s61_8,0.504443216,0.269901015,0.122591204,0.834351919,0.104496678,0.385698231,0.004566994
s61_9,0.504392774,0.273268623,0.124158041,0.837612245,0.102971812,0.385736803,0.003385682
s61_10,0.503234004,0.279906405,0.133267086,0.893507992,0.116053963,0.425708687,0.00348635
s61_11,0.509411062,0.276042621,0.129483736,0.874415164,0.119624214,0.413623144,0.004670916
s61_12,0.504493663,0.275050655,0.134714171,0.877744263,0.115071685,0.41156019,0.003456841
s62_1,0.508545799,0.28269124,0.114979664,0.897986719,0.070341031,0.437359398,0.124158041
s62_2,0.508901906,0.286189815,0.088593215,0.897627596,0.003502774,0.441092798,0.137779596
s62_3,0.508851018,0.288257817,0.113415184,0.897089181,0.003504176,0.439859465,0.137834719
s62_4,0.511094896,0.284477817,0.10937204,0.885148369,0.069934233,0.432574808,0.118991883
s62_5,0.504695501,0.27948686,0.108576531,0.874065468,0.003456496,0.423204401,0.125380771
s62_6,0.506616992,0.277676087,0.095808871,0.835186689,0.003387036,0.388951742,0.122861202
s62_7,0.512579222,0.292000431,0.109656777,0.948190355,0.003605121,0.48587689,0.149404184
s62_8,0.510992687,0.288777149,0.117044626,0.928578831,0.074630948,0.462041761,0.146519024
s62_9,0.515148536,0.289992563,0.118968087,0.93239382,0.003573892,0.466218906,0.137945031
s62_10,0.513246009,0.292351042,0.116682349,0.921548382,0.003553934,0.458451854,0.139791955
s62_11,0.511299375,0.286218435,0.113972282,0.90528995,0.003521388,0.450633909,0.13325376
s62_12,0.513605406,0.289615818,0.116170075,0.914662623,0.071076395,0.449239107,0.142972925
