_lab_Sample Name,_lab_country,_lab_city,_lab_street,Feature 01,Feature 02,Feature 03,Feature 04,Feature 05,Feature 06,Feature 07,Feature 08,Feature 09,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
Sample 001,4,1,1,4623.814724,1224.152721,6268.224986,26398.05157,684.3572128,204.806694,27.781921,4110.163187,251.7832295,631.6385457,123.4325116,1629.535852,69.94036158,5122.066842,11.63936917,130.749143,614.1172557,64.52772347,25.59889616,5.893485854,5.445952847,137.9525816,144.1633106,175.6361838,7575.042609,7.44888369,420.9372904,10.84239674,127.9600944,503780.7858,7.6242283,683715.5724,117.3966673,42.96692232,18.86247124,4.58548599,4.341336955
Sample 002,4,1,1,3293.905792,1196.341125,5590.075879,27029.21124,699.2969455,202.2401856,25.08233972,3547.223238,154.2613347,353.5849431,123.0845632,1155.829109,55.71361098,4273.927064,24.48808515,119.8722812,538.5846371,54.3341204,21.0229632,5.524785108,5.295644541,123.6404005,114.9983964,155.1740458,3826.507175,8.135332381,420.0108928,10.04891889,127.1662064,489594.3387,7.340231589,132082.9557,93.35722907,26.01077972,15.48342321,3.935675036,4.416429442
Sample 003,4,1,1,3556.46032,1214.107389,5566.424335,26344.16377,702.9888998,209.6045366,25.57659283,3496.834748,135.2639092,358.3656981,123.7166764,660.2673621,53.74914167,4531.087772,20.37661156,130.2600248,557.2337034,53.25669669,22.3911165,5.634599256,5.148594046,119.3966491,109.9044611,153.3647817,3830.24467,7.648901901,420.8197404,10.75880444,143.4985939,877048.7234,8.161542232,722724.5397,93.65947245,28.19770396,16.2247969,4.354818446,3.972592523
Sample 004,4,1,2,3797.246709,1246.441745,6286.429356,26213.61347,796.5536434,246.9581181,29.20052659,4029.943662,218.4705482,500.0529157,123.5067874,1704.176156,70.91130218,4670.332399,20.14649303,140.1382579,589.569665,57.868575,24.55660702,6.575581446,4.893860317,134.8611746,119.4522364,129.7502736,4755.745191,7.731784017,420.0342677,10.67599987,137.0168024,353141.8129,8.006158378,110353.4806,118.5941719,26.74671426,17.3112641,4.284663718,4.471014259
Sample 005,4,1,2,3670.299026,1249.488427,6177.791539,26913.81864,792.8928753,230.7027926,25.31652513,3600.200625,159.5953068,454.3814891,123.3280877,1284.431186,64.5783102,4397.526181,22.67453362,123.8740305,551.3532657,53.3826878,21.46459336,6.282765555,5.421045546,116.2179084,110.7917,147.9295056,4244.38038,7.83483855,420.5161603,10.87442909,153.9745624,449443.5566,6.414224339,117492.8522,115.6784775,26.41590299,15.81466413,3.73822014,3.966633465
Sample 006,4,1,2,3626.430874,1118.74285,5604.357767,26083.117,728.8701211,213.1171941,22.24824932,3410.240916,127.7609173,338.7000186,123.7535241,786.475655,51.39963823,4538.746642,21.46074288,123.854775,584.122548,54.88222116,25.50581166,5.870616406,5.46016262,121.2690554,110.7780728,128.199449,3814.469908,7.868120361,420.6533303,10.33094324,127.8029159,963530.2868,7.353012496,640717.923,93.05429503,22.52878335,15.68994306,3.855064902,3.940753342
Sample 007,4,1,3,3443.278498,1110.667424,5781.290185,26990.85419,659.4287764,192.5287361,23.11924608,3800.079471,203.946313,473.3401396,123.8360058,1248.785221,60.3277383,4454.542899,24.27039438,130.388621,544.5342484,55.87090072,24.27193123,6.060725418,4.958035923,132.0802646,124.9284776,166.9051427,5537.005239,7.639013189,420.7541273,10.51849967,138.8902053,42297.79791,7.926676019,328814.2148,93.24712124,35.34964227,16.98236027,4.002236136,3.937151649
Sample 008,4,1,3,3560.213548,1246.269062,5827.984187,26767.03694,751.3475672,225.0483763,24.67135721,3539.68143,158.5365766,389.7189265,123.2537164,1281.130652,60.26177925,4557.280868,28.72455752,133.4577177,572.2530925,58.29621057,21.70114862,5.671823023,5.174274969,125.3363079,120.3548013,138.9441951,3625.595586,7.372989365,420.279997,10.45394521,127.7947134,972958.3341,7.342942352,653812.0226,93.90181334,25.83955903,16.40834774,3.977712488,4.430157596
Sample 009,4,1,3,3310.624174,1198.2655,5479.987023,26436.33551,714.9612318,205.678444,22.20869334,3220.036098,125.4708925,341.0562668,123.534425,804.0513557,50.60917091,4204.521882,27.23753566,125.5029184,542.3316927,53.48766221,21.54622366,5.481496393,4.937992441,116.4943398,100.7887455,129.9381953,3529.332741,7.894384241,731.4030511,10.17950307,127.5735696,189206.8431,8.11128957,749131.4631,93.98244309,23.86270577,15.55972159,4.086870685,3.985241882
Sample 010,3,2,1,3733.964889,2781.688662,7050.290269,20206.20556,342.3059904,698.4068301,732.5777639,4570.173414,3140.927112,434.642497,165.4351652,2016.627506,126.4379022,7347.93195,26.51751608,277.84818,1081.964185,362.9830193,30.18899412,6.051430769,10.29268462,172.2093039,302.8450549,236.0350936,2471.177561,8.12492621,420.8887807,10.84739946,165.8016901,667120.3,6.85078264,583185.7315,216.184109,22.56580265,27.41226548,3.754405466,4.157004448
