_lab_Type,Isobutane,Butane,c-2-Butene,2-Methyl-1-butene,t-2-Pentene,2-Methyl-2-butene,2<comma>2-Dimethylbutane,2-Methylpentane,Hexane,2<comma>4-Dimethylpentane,Cyclohexane,3-Methylhexane,Heptane,2<comma>4-Dimethylhexane,Toluene,2<comma>3-Dimethylhexane,Ethylbenzene,p-Xylene,1-Methyl-3-ethylbenzene,1<comma>3<comma>5-Trimethylbenzene,1<comma>2<comma>4-Trimethylbenzene,2-Methylnaphthalene,1<comma>3-Butadiene,t-2-Butene,Isopentane,Pentane,c-2-Pentene,Cyclopentane,2<comma>3-Dimethylbutane,3-Methylpentane,Methylcyclopentane,Benzene,2-Methylhexane,2<comma>2<comma>4-Trimethylpentane,Methylcyclohexane,2<comma>3<comma>4-Trimethylpentane,2<comma>3<comma>3-Trimethylpentane,3-Methylheptane,m-Xylene,o-Xylene,1-Methyl-4-ethylbenzene,1-Methyl-2-ethylbenzene,Naphthalene,1-Methylnaphthalene
PU,2.77,6.91,0.52,0.45,0.55,0.85,0.31,2.21,1.52,0.77,0.07,1.87,1.24,0.59,11.56,0.64,2.07,2.79,1.95,1.16,3.33,0.07,0.03,0.66,4.82,1.76,0.31,0.1,1.05,1.57,0.52,2.1,2.47,3.71,0.26,1.74,1.5,0.65,6.44,3.43,0.86,0.69,0.14,0.02
PU,3.53,4.71,0.28,0.58,0.77,1.19,0.12,4.03,2.2,0.51,0.2,2.02,1.16,0.26,10.68,0.15,1.8,2.53,1.97,1.31,3.34,0.08,0,0.41,10.2,4.21,0.42,0.37,0.79,2.56,2.01,2.33,2.47,0.23,0.62,0.04,0,0.67,5.68,2.82,0.9,0.59,0.17,0.04
PU,4.17,6.19,0.17,0.2,0.27,0.46,0.67,4.18,3.65,0.32,0.17,1.5,0.99,0.1,17.94,0.07,1.91,2.5,1.66,1.03,2.82,0.13,0,0.25,6.77,5.31,0.15,0.32,0.84,3,0.99,5.62,1.76,0,0.21,0.02,0,0.29,5.79,3.2,0.71,0.61,0.2,0.05
PU,1.92,6.51,0.51,0.62,0.78,1.15,0.2,2.16,1.5,1.14,0.11,1.77,1.2,0.6,11.58,0.65,2.01,2.36,1.16,0.67,2.15,0.02,0.01,0.55,5.02,2.27,0.44,0.15,1.14,1.5,0.99,2.66,3.49,3.93,0.38,2.21,1.57,0.69,5.84,3.07,0.51,0.39,0.04,0.01
PU,2.31,3.59,0.71,0.57,0.8,1.03,0.28,2.66,2.01,0.38,0.11,1.97,1.28,0.22,14.81,0.14,2.49,3.29,1.52,0.99,2.67,0.24,0,0.87,5.12,2.84,0.45,0.16,0.54,1.92,0.96,3.31,2.31,0,0.41,0.03,0,0.71,8.23,3.95,0.64,0.57,0.2,0.08
PU,3.37,5.47,0,0.01,0,0.01,0.74,5.26,2.05,0.4,0.61,2.35,1.72,0.23,9.01,0.19,1.09,2.2,3.75,2.21,7.42,0.16,0,0,10.79,2.27,0,0.61,0.93,3.35,1.66,2.68,2.71,0,0.14,0,0,0.67,5.39,4.8,1.72,1.4,0.2,0.08
PU,2,11.34,0.04,0.18,0.22,0.34,0.2,1.49,0.62,5.91,0.18,0.76,0.53,1.73,1.32,1.4,0.36,0.39,0.43,0.27,0.8,0.13,0,0.05,5.1,0.97,0.12,0.14,2,0.92,0.63,0.34,11.12,17.09,0.46,5.12,3.8,0.44,1.04,0.64,0.18,0.17,0.08,0.04
PU,0.28,12.79,0.04,0.67,0.86,1.35,0.05,2.15,1.08,2.77,0.15,0.85,0.35,1.08,2.68,1.11,0.64,0.72,0.81,0.47,1.31,0.03,0,0.03,5.64,1.86,0.48,0.23,1.04,1.33,1.15,0.56,8.04,13.74,0.46,4.29,2.29,0.55,1.99,1.12,0.32,0.32,0.16,0.01
PU,2.65,6.19,0.02,0.02,0.02,0.04,0.31,6.49,2.11,0.49,0.64,1.43,0.64,0.07,7.99,0.05,1.65,2.37,3.12,1.67,6.13,0.04,0,0.03,14.81,3.55,0.01,0.77,1.27,3.8,5.68,2.82,2.04,0,0.29,0,0,0.17,5.26,4.55,1.43,1.19,0.1,0.02
PU,2.67,5.48,0.35,0.62,0.72,1.14,1.15,3.86,2.46,0.36,0.4,1.59,1.01,0.17,11.18,0.11,2.07,2.62,2.23,1.27,3.33,0.08,0,0.37,8.22,3.31,0.4,0.36,0.98,2.61,1.3,3.1,1.9,0,0.5,0.03,0,0.69,6.07,3.01,0.99,0.76,0.19,0.04
