_lab_item,_lab_fragment,NaO,MgO,AlO,SiO,KO,CaO,FeO
s1,f1,0.516696302,0.230316691,0.230316691,0.863898495,0.181826926,0.329690811,0.003421077
s1,f1,0.513862273,0.229810551,0.227319219,0.866840749,0.179370819,0.329064993,0.004624902
s1,f1,0.51892288,0.234031396,0.227888228,0.862689883,0.185184991,0.328966289,0.003421761
s1,f2,0.532112684,0.229764594,0.220446554,0.833351298,0.169602129,0.322839495,0.073608115
s1,f2,0.530890231,0.234195276,0.22321943,0.835938695,0.172441022,0.322001202,0.003389408
s1,f2,0.531793512,0.231286055,0.225756115,0.842821573,0.172941827,0.323324117,0.003399252
s1,f3,0.526238893,0.236052746,0.229741618,0.890030097,0.1865791,0.354942313,0.087975228
s1,f3,0.525660349,0.230109499,0.230754709,0.900504605,0.190748399,0.364437577,0.003493679
s1,f3,0.517886072,0.229971475,0.231957758,0.919155468,0.204313439,0.372022851,0.00352174
s1,f4,0.523247864,0.23154061,0.224114096,0.847639374,0.17747953,0.328309013,0.003402993
s1,f4,0.53099642,0.233097141,0.224383194,0.853935171,0.177337603,0.330416929,0.003416632
s1,f4,0.52602844,0.232073766,0.223420418,0.846284236,0.172199774,0.326312424,0.073962283
s2,f1,0.536279392,0.255610622,0.191283243,0.908100703,0.079206255,0.368137047,0.003518924
s2,f1,0.542156811,0.256943259,0.189721134,0.915211585,0.00353727,0.373962408,0.004779592
s2,f1,0.542916362,0.253041948,0.183874835,0.886477087,0.003475559,0.349098906,0.003475559
s2,f2,0.541452465,0.254462958,0.179030338,0.871011586,0.066178476,0.338578266,0.003449245
s2,f2,0.537675533,0.250474039,0.185797111,0.880469492,0.077972428,0.342288955,0.004680268
s2,f2,0.537729303,0.254310326,0.177834844,0.887009133,0.003477645,0.353737559,0.003477645
s2,f3,0.533391288,0.245686241,0.177745949,0.819140221,0.073043509,0.309282556,0.003359712
s2,f3,0.536011319,0.247956984,0.174924645,0.815543922,0.067360263,0.306327649,0.004531963
s2,f3,0.535100874,0.250824948,0.175537954,0.810665308,0.003349313,0.305104786,0.003349313
s2,f4,0.540586834,0.253929147,0.175625744,0.8588165,0.079834463,0.333670934,0.003434445
s2,f4,0.540694962,0.250549193,0.179999717,0.852740498,0.081880042,0.324749878,0.004618894
s2,f4,0.539506741,0.254437513,0.176965585,0.857529241,0.071733315,0.330582179,0.003426555
s3,f1,0.540532778,0.250774788,0.179048242,0.83310133,0.058221534,0.309097042,0.003384328
s3,f1,0.539776562,0.250674499,0.183452408,0.854533135,0.071597151,0.327260104,0.004621666
s3,f1,0.541344186,0.253168501,0.180125761,0.825471946,0.064731975,0.308541168,0.003373515
s3,f2,0.543676977,0.251503091,0.184519524,0.837026122,0.061877417,0.312484628,0.003394157
s3,f2,0.540857195,0.252561625,0.186113235,0.837026122,0.065121534,0.314082371,0.004586216
s3,f2,0.539884528,0.250950392,0.190824714,0.838953498,0.003394157,0.312859835,0.003394157
s3,f3,0.542102598,0.257148896,0.191570384,0.904294678,0.086431767,0.360558882,0.003508734
s3,f3,0.540262579,0.251704374,0.184944407,0.916218872,0.084534123,0.372060055,0.004768612
s3,f3,0.540262579,0.251704374,0.184944407,0.916218872,0.084534123,0.372060055,0.003529144
s3,f4,0.542482203,0.25344714,0.183635953,0.909645787,0.079253793,0.368357995,0.003521036
s3,f4,0.544057685,0.254412071,0.185704236,0.903390836,0.079016388,0.359263204,0.004743405
s3,f4,0.544112093,0.258463705,0.184261377,0.922193691,0.082521204,0.377456481,0.003550027
s4,f1,0.537030709,0.254030739,0.185036903,0.891277012,0.083392242,0.344039088,0.003481472
s4,f1,0.53585054,0.255150937,0.188002503,0.885679617,0.07551681,0.345901924,0.00469386
s4,f1,0.534298825,0.255482849,0.186169077,0.885502499,0.069710802,0.344865773,0.003470696
s4,f2,0.539884528,0.250900207,0.18155439,0.851292071,0.062274702,0.323712339,0.003415949
s4,f2,0.5418858,0.25385298,0.180938153,0.841642449,0.083852163,0.318223918,0.004599995
